ORGÃO SUPERIOR CONTRATANTE;FORMA DE CONTRATAÇÃO;GRUPO DE OBJETO DE CONTRATAÇÃO;NOME DO FORNECEDOR;CPF / CNPJ DO FORNECEDOR;UF DO FORNECEDOR;VALOR CONTRATADO;CNAE PRINCIPAL
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MEGA SEGURANCA LTDA;04.951.122/0001-14;MS;235.944,48;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;235.131,49;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;NORTH SERVICOS DE SEGURANCA EIRELI;86.960.598/0001-86;CE;233.239,74;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;COOPARIOCA COOPERATIVA DE TRABALHO DE TAXI CARIOCA LTDA;31.344.070/0001-90;RJ;231.535,24;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;A SETE COMERCIO E SERVICOS EIRELI;15.188.822/0001-15;GO;230.638,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GRABIN OBRAS E SERVICOS URBANOS - EIRELI;08.058.662/0001-24;PR;229.281,71;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ARCOM COMERCIO E SERVICOS EIRELI;18.083.458/0001-17;PR;227.824,44;
MINISTERIO DA ECONOMIA;Pregão;Serviços;MASTER VIGILANCIA ESPECIALIZADA LTDA;77.998.912/0010-10;SP;227.390,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;JW NEVES LIMPEZA E PORTARIA LTDA.;17.101.290/0001-62;SP;225.805,24;
MINISTERIO DA ECONOMIA;Pregão;Serviços;FUTARI ADMINISTRACAO E SERVICOS EIRELI;15.754.164/0001-81;SP;223.199,64;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Materiais;AUTO POSTO FORMULA FOZ LTDA;86.806.148/0001-33;PR;217.320,78;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL;33.000.118/0001-79;RJ;214.461,73;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;EBA OFFICE COMERCIO DE MAQUINAS PARA ESCRITORIO LTDA;09.015.414/0001-69;SP;210.532,00;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;PARANAGUA SANEAMENTO S.A.;01.691.945/0001-60;PR;210.000,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais, Serviços;TICKET SOLUCOES HDFGT S/A;03.506.307/0001-57;RS;209.790,00;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;206.020,08;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;SFRIAR AR CONDICIONADOS EIRELI;22.036.374/0001-08;GO;205.100,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;201.000,00;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;BPGR TECNOLOGIA E INFORMACAO EIRELI;00.885.818/0001-39;RJ;198.892,20;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;198.278,00;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0026-61;RS;196.640,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;EBA OFFICE COMERCIO DE MAQUINAS PARA ESCRITORIO LTDA;09.015.414/0001-69;SP;195.494,00;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;191.101,12;
MINISTERIO DA ECONOMIA;Pregão;Serviços;A. C. M. D. PRESTACAO DE SERVICOS EIRELI;04.543.719/0001-20;SP;189.767,86;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;COOPARIOCA COOPERATIVA DE TRABALHO DE TAXI CARIOCA LTDA;31.344.070/0001-90;RJ;189.737,17;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ERICA E.G. LIMA SERVICOS DE MAO DE OBRA EIRELI;19.362.299/0001-52;PA;189.095,80;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;TALIMPO LIMPEZA URBANA - EIRELI;03.116.706/0001-01;RN;185.957,28;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;SERSIL DO BRASIL SERVICOS TERCEIRIZADOS EIRELI;59.645.168/0001-05;SP;184.184,17;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;APPA SERVICOS TEMPORARIOS E EFETIVOS LTDA;05.969.071/0001-10;SP;182.679,60;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ASSOCIACAO DOS TAXISTAS PRIME;02.242.714/0001-31;SP;180.938,88;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ENERGIZA ENGENHARIA EIRELI;17.856.676/0001-84;DF;180.000,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;IMPERIAL RONDONIA FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS LTDA;09.134.888/0001-20;RO;179.708,64;
MINISTERIO DA ECONOMIA;Pregão;Serviços;IRMAOS KREFTA LTDA;81.189.227/0001-29;PR;177.158,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;APPA SERVICOS TEMPORARIOS E EFETIVOS LTDA;05.969.071/0001-10;SP;175.401,60;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;MENDEX NETWORKS TELECOMUNICACOES LTDA;08.219.232/0001-47;SP;173.800,00;
MINISTERIO DA ECONOMIA;Pregão;Outros;EBARA TECNOLOGIA COMERCIO E SERVICOS EM INFORMATICA LTDA;04.471.402/0001-25;RN;171.149,76;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;J. ATAIDE ALVES EIRELI;09.165.068/0001-03;AL;169.517,82;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;JOSE ROBERTO DOS SANTOS;***.073.076-**;MG;168.840,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;167.851,20;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;LCC MOVEIS EIRELI;09.027.395/0001-90;SP;166.639,50;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PONTUAL SERVICOS EMPRESARIAL EIRELI;22.688.729/0001-35;MG;165.039,12;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OBSERVES SERVICOS EIRELI;26.412.260/0001-68;SC;163.797,79;
MINISTERIO DA ECONOMIA;Pregão;Obras;LLP ENGENHARIA & CONSULTORIA LTDA;10.385.871/0001-24;DF;162.000,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;A S NETO ENGENHARIA EIRELI;11.896.697/0001-47;MG;162.000,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TELEFONICA BRASIL S.A.;02.558.157/0001-62;SP;161.816,35;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NP3 COMERCIO E SERVICOS LTDA;01.667.155/0003-00;RS;159.542,59;
MINISTERIO DA ECONOMIA;Pregão;Serviços;DIEGO F.GUTIERREZ;18.904.963/0001-85;SP;159.000,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;MEMPHIS ENGENHARIA E SERVICOS EIRELI;57.183.816/0001-15;SP;155.250,00;
MINISTERIO DA ECONOMIA;Pregão;Outros;1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA;11.844.663/0001-09;PE;152.000,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;HIGICLEAN III TECNOLOGIA E LIMPEZA EIRELI;25.128.718/0001-99;BA;151.566,60;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;150.781,54;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Materiais;CENTRAL DE COOPERATIVAS DE COMERCIALIZACAO DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA ARCO SERTAO;15.303.517/0001-27;BA;148.330,00;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;COPEL DISTRIBUICAO S.A.;04.368.898/0001-06;PR;144.417,60;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;EUROLINE COMERCIO DE MOVEIS EIRELI;13.622.580/0001-09;RS;142.418,00;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA CAER;05.939.467/0001-15;RR;139.319,10;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ENGELINK LTDA.;12.139.246/0001-28;PR;139.079,58;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NORTE SERVICOS DE MAO DE OBRA EIRELI;14.991.257/0001-67;PA;138.991,34;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ENERFIX MANUTENCAO E INSTALACAO LTDA;28.319.607/0001-58;GO;137.900,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais, Serviços;INFOCABLE INFRAESTRUTURA E TECNOLOGIA LTDA;13.168.343/0001-01;PR;137.785,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SUP SERVICOS DE CONSTRUCOES E MANUTENCAO EIRELI;04.465.383/0001-24;AM;135.720,00;
MINISTERIO DA ECONOMIA;Pregão;Obras;CONSTRUTORA MAIORCA EIRELI;26.925.413/0001-70;DF;135.057,09;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GAMA CONSERVACAO E MANUTENCAO PREDIAL LTDA;19.609.199/0001-88;CE;134.794,92;
MINISTERIO DA ECONOMIA;Pregão;Serviços;INOVAR SERVICOS CORPORATIVOS LTDA;27.189.662/0001-08;CE;133.650,04;
MINISTERIO DA ECONOMIA;Pregão;Serviços;IGUACU DESENVOLVIMENTO LTDA;17.453.147/0001-30;PR;129.126,40;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;TAWRUS SEGURANCA E VIGILANCIA LTDA;09.406.386/0001-00;AM;128.580,12;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/7101-51;SP;125.000,00;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;123.411,86;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VALE DO RIBEIRA INTERNET LTDA;07.017.934/0001-85;SP;120.898,40;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ASSOCIACAO DOS TAXISTAS PRIME;02.242.714/0001-31;SP;120.473,10;
MINISTERIO DA ECONOMIA;Pregão;Serviços;REFORMAR ELEVADORES LTDA;21.633.171/0001-28;BA;119.999,52;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0004-56;AL;116.669,97;
MINISTERIO DA ECONOMIA;Pregão;Serviços;R R DA C RODRIGUES COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS- EIRELI;17.284.229/0001-06;AM;115.200,00;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;HELENA HIROMI TANAKA MAKINODAN;***.028.848-**;SP;114.622,56;
MINISTERIO DA ECONOMIA;Pregão;Serviços;FOCO SERVICOS TERCEIRIZADOS EIRELI;27.619.044/0001-50;RS;114.018,00;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;LIMPMAX ADMINISTRADORA DE SERVICOS EIRELI;12.256.355/0001-25;PE;113.185,08;
MINISTERIO DA ECONOMIA;Pregão;Outros;QUALYCOPY COMERCIO E SERVICOS LTDA;02.902.072/0001-50;BA;113.004,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;HAZA CONSTRUCOES DE EDIFICIOS EIRELI;17.278.082/0001-33;AM;112.734,22;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;111.235,50;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;EMBRASG - EMPRESA BRASILEIRA DE SERVICOS GERAIS LTDA;01.248.111/0001-84;GO;109.758,72;
MINISTERIO DA ECONOMIA;Pregão;Serviços;DT CONSERVACAO E LIMPEZA LTDA -;00.997.194/0001-41;AM;109.570,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;108.966,27;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ERICA E.G. LIMA SERVICOS DE MAO DE OBRA EIRELI;19.362.299/0001-52;PA;106.499,64;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/7101-51;SP;105.000,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OBSERVES SERVICOS EIRELI;26.412.260/0001-68;SC;104.157,86;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PETBRAZIL CLINICA VETERINARIA LTDA;01.781.151/0001-97;PR;102.204,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;AG4 SERVICOS EMPRESARIAIS - EIRELI;03.171.959/0001-88;SP;101.148,38;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;A & L SERVICOS EIRELI;21.976.075/0001-82;SE;100.255,82;
MINISTERIO DA ECONOMIA;Pregão;Serviços;S & B LOCACOES DE VEICULOS EIRELI;01.838.726/0001-60;PE;98.183,50;
MINISTERIO DA ECONOMIA;Pregão;Serviços;AMBIENTAL TECNOL CONSULTORIA EIRELI;07.819.027/0001-50;GO;97.145,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ERICA E.G. LIMA SERVICOS DE MAO DE OBRA EIRELI;19.362.299/0001-52;PA;97.127,95;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;IMPERIAL RONDONIA FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS LTDA;09.134.888/0001-20;RO;96.261,12;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GREENLIFE JARDINS E AREAS VERDES LTDA;12.513.284/0001-07;SP;96.000,00;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;43.776.517/0001-80;SP;95.620,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SOBERANA TERCEIRIZACAO DE SERVICOS EIRELI;02.891.176/0001-06;PR;94.417,51;
MINISTERIO DA ECONOMIA;Sem Informação;Outros;SPR BATERIAS COMERCIO E IMPORTACAO EIRELI;13.303.289/0001-60;SP;93.705,15;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0003-75;AM;91.000,00;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;COMPANHIA PERNAMBUCANA DE SANEAMENTO;09.769.035/0001-64;PE;90.429,60;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/7101-51;SP;90.000,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ELEVADORES MILENIO EIRELI;03.539.398/0001-27;MG;89.999,00;
MINISTERIO DA ECONOMIA;Pregão;Materiais;MUNDIAL DERIVADOS DE PETROLEO LTDA;04.727.601/0001-51;ES;89.850,00;
MINISTERIO DA ECONOMIA;Pregão;Materiais;ROBERIO PINTO FREIRE;29.062.235/0001-90;CE;89.100,00;
MINISTERIO DA ECONOMIA;Pregão;Bens patrimoniais;FM SOLUCOES INTEGRADAS EIRELI;19.367.628/0001-58;DF;89.000,00;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;88.481,04;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;CELESC DISTRIBUICAO S.A;08.336.783/0001-90;SC;87.600,00;
MINISTERIO DA ECONOMIA;Pregão;Outros;PRINT & COPY EQUIPAMENTOS E SERVICOS LTDA;01.798.250/0001-81;MS;87.510,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;LIMPAR LIMPEZA E CONSERVACAO LTDA;08.775.721/0001-85;PA;84.910,80;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;IMPERIAL RONDONIA FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS LTDA;09.134.888/0001-20;RO;84.376,32;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;MG;83.500,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SCHNEIDER AUTO PECAS LTDA;89.503.106/0001-11;RS;82.378,68;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;GRANLIMP LIMPEZA E CONSERVACAO EIRELI;23.501.536/0001-96;MS;82.250,04;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;NORTE XPRESS TRANSPORTES SERVICOS EIRELI;11.140.110/0001-75;AC;81.300,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;NORTE XPRESS TRANSPORTES SERVICOS EIRELI;11.140.110/0001-75;AC;81.300,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;RJ;81.066,80;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;M M RODRIGUES EIRELI;26.519.663/0001-00;DF;81.026,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;RJ;80.784,00;
MINISTERIO DA ECONOMIA;Pregão;Outros;ROSEMERI WENDT E CIA LTDA;04.925.768/0001-27;RS;79.612,24;
MINISTERIO DA ECONOMIA;Pregão;Serviços;DURATEC IMPERMEABILIZACAO E SERVICOS EMPRESARIAIS EIRELI;26.177.283/0001-35;SP;79.140,92;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PERILLO ENGENHARIA E GEOLOGIA - EIRELI;09.477.765/0001-91;SP;79.004,76;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;ITS TELECOMUNICACOES LTDA;08.772.214/0001-98;BA;78.980,00;
MINISTERIO DA ECONOMIA;Pregão;Outros;IMPRESSIONE SOLUCOES EM COPIAS E IMPRESSOES LTDA;10.953.726/0001-00;RN;77.736,24;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0013-47;GO;77.640,20;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;77.207,92;
MINISTERIO DA ECONOMIA;Pregão;Outros;REPROS SOLUCOES EM DOCUMENTOS EIRELI;07.346.326/0001-14;MG;77.180,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;76.928,16;
MINISTERIO DA ECONOMIA;Pregão;Serviços;BRASIL FORTE - VIGILANCIA E SEGURANCA LTDA;05.290.522/0001-99;RJ;75.964,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;S L DOS R MORAES EIRELI;07.928.761/0001-57;AM;74.583,36;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;RJ;74.504,83;
MINISTERIO DA ECONOMIA;Pregão;Obras;PERILLO ENGENHARIA E GEOLOGIA - EIRELI;09.477.765/0001-91;SP;74.353,45;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;72.367,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;MENDEX NETWORKS TELECOMUNICACOES LTDA;08.219.232/0001-47;SP;72.000,00;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;71.956,15;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SETOPAR - SERVICOS TERCEIRIZADOS DO OESTE DO PARANA LTDA;03.637.701/0001-24;PR;71.400,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais;METROPOLIS COMERCIO E  IMPORTACAO E EXPORTACAO LTDA;07.569.652/0001-90;MA;71.250,00;
MINISTERIO DA ECONOMIA;Pregão;Outros;ALLGED SOLUCOES DE TI LTDA.;23.226.948/0001-65;RS;71.150,40;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;RENOVA CONSTRUCOES E PAISAGISMO LTDA ME;13.777.340/0001-75;MS;70.934,19;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;RENOVA CONSTRUCOES E PAISAGISMO LTDA ME;13.777.340/0001-75;MS;70.456,73;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GED PRESTADORA DE SERVICOS GERAIS LTDA;13.697.422/0001-00;MS;69.900,00;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Obras;WPJ ENGENHARIA E CONTRUCOES LTDA;12.241.224/0001-74;SC;69.398,14;
MINISTERIO DA ECONOMIA;Pregão;Serviços;FABRICA GESTAO DE PESSOAS E SERVICOS DE APOIO EIRELI;11.517.550/0001-07;CE;69.262,32;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;67.561,92;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OFFICE COMERCIO E SERVICOS EIRELI;19.234.161/0001-78;PA;67.335,70;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VISION EMPREENDIMENTOS EIRELI;09.327.728/0001-05;AP;67.199,96;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/7101-51;SP;65.547,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GENTE SEGURADORA SA;90.180.605/0001-02;RS;64.000,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL;33.000.118/0001-79;RJ;63.532,49;
MINISTERIO DA ECONOMIA;Pregão;Serviços;UNIVERSIDADE PATATIVA DO ASSARE;05.342.580/0001-19;CE;63.000,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais;FONSECA MARTINS COMERCIO DE GAS - EIRELI;00.961.053/0001-79;GO;61.068,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ELEVADORES VILLARTA LTDA;54.222.401/0001-15;SP;60.900,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;GD - GESTAO & DESENVOLVIMENTO EMPRESARIAL LTDA;05.457.572/0001-18;DF;60.603,85;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;R&A COMERCIO DE EQUIPAMENTOS TELEFONICOS LTDA;54.561.071/0001-92;SP;59.970,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;INOVAR SERVICOS CORPORATIVOS LTDA;27.189.662/0001-08;CE;59.966,16;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ARGO BAHIA SERVICOS E EMPREEENDIMENTOS EIRELI;11.211.475/0001-43;BA;59.641,04;
MINISTERIO DA ECONOMIA;Pregão;Serviços;COMMANDO SEGURANCA ELETRONICA LTDA;11.369.367/0001-01;MG;59.620,50;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;DRAGAO DE CAMPOS ELETRO DIESEL LTDA;31.447.055/0002-59;RJ;59.350,00;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;M. R. S. DA ROCHA;10.415.328/0001-22;DF;56.999,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL;33.000.118/0001-79;RJ;56.780,68;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;AGUA NOBRE DISTRIBUIDORA DE GAS E BEBIDAS  LTDA;10.535.296/0001-07;PR;56.503,98;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;AGENCIA DE INTEGRACAO EMPRESA ESCOLA LTDA;01.406.617/0001-74;MG;56.284,86;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PETBRAZIL CLINICA VETERINARIA LTDA;01.781.151/0001-97;PR;56.000,80;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL;33.000.118/0001-79;RJ;55.440,53;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VISION EMPREENDIMENTOS EIRELI;09.327.728/0001-05;AP;53.300,00;
MINISTERIO DA ECONOMIA;Pregão;Outros;BRASIL SERVICOS DE TELECOMUNICACOES LTDA;07.756.651/0001-55;RS;52.543,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ASSUM PRETO PRODUCOES CULTURAIS E COMERCIO DE MATERIAIS PARA USO MEDICO EIRELI;10.462.477/0001-42;CE;51.998,42;
MINISTERIO DA ECONOMIA;Pregão;Serviços;N. E N. REFRIGERACAO LTDA;14.100.831/0001-40;AC;51.175,75;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais, Serviços;SPLIT SERVICE REFRIGERACAO COMERCIO E SERVICOS LTDA;11.048.879/0001-68;PA;50.508,00;
MINISTERIO DA ECONOMIA;Pregão;Outros;SCREEN SAVER INFORMATICA LTDA;01.800.080/0001-22;BA;50.498,80;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;ARTONHO CLIMATIZACAO E COMERCIO LTDA;03.851.228/0001-83;SC;50.200,00;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;09.168.704/0001-42;DF;50.000,00;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;OI MOVEL S.A. - EM RECUPERACAO JUDICIAL;05.423.963/0001-11;DF;50.000,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ATENAS ELEVADORES LTDA;10.658.360/0001-39;SP;49.980,00;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OFFICE COMERCIO E SERVICOS EIRELI;19.234.161/0001-78;PA;49.194,22;
